,isHate,comment
59,1,kill globalists politician rise machete hand invade kill
60,0,mafia began citizen got pushed far took matter hand
61,0,pure example goverment inside goverment poor man
62,0,yall need chill word alien isnt racist term may offend racist probably used alien video didnt want keep saying immigrant time like writing one research paper school use thesaurus find better word word dont repeat would rather use word outsider incomer website term alien first synonym pop immigrant already widely used still good term dont say conversation note people saying trump fix build wall good idea dont need piss country
63,0,venezuela want canadian american citezen cose poor country salary time lower lower salary canada example money dont care think imagrant dont care religion want work get car house country spend year buy car example people say dont stay made country rich country nooooo idiot becasue rich country made country poor country dream canada usa work donk know driven taxi people mad imigrant lazy thas bye immigrant world border
64,0,even number thing dash trunk etc
65,0,damn daniel back migration
66,0,hope donald trumo doesnt see
67,0,bitch proud mexican idc anyone call
68,0,url showing rome italy talking bali thats piazza spagna via frattina right
69,0,dude like every title like dont title thats case lol
70,0,doe video keep reminding donald trump
71,0,alien think alien real thought alien fake doe make alien since american allowed place
72,0,find
73,0,alien really mexican people
74,0,subscribe good day dont youll year bad luck
75,0,alien
76,0,hdidng trunk wowe thats currayyyyzeyyyy
77,0,men length get military uniform everything last name fuck
78,0,hoping crazy shit place car hide
79,0,lmballso nice twist saaaaame ole sht hella time
80,0,deserve
81,0,country come none people accountable behaviour attack someone like family genuinely believe karma catch savage beast
82,1,sandniggers need die
83,1,animal
84,0,
85,1,stupid fat lady charge wonder got country fucked
86,1,send savage back home
87,0,people need deported cant attack people supporting view
88,1,put nigger brain pavement
89,1,gun didnt use
90,0,wheres
91,0,maybe give sharia law impose upon ruthlessly want
92,0,support hillary clinton want happen
93,0,teenage afghan immigrant arrested germany yearold daughter senior official raped murdered jogging maria ladenburger found river freiburg studied single strand hair found matched migrant suspect identified single strand dyedblond hair scene according police confessed court next year stoked anger angela merkels opendoor immigration policy read url url follow mailonline twitter dailymail facebook
94,1,fat guy kept rifle soon one muslim scum bag terrorist step property bang shoot fucker head say trespassing
95,0,gun good idea thought
96,1,fat white cunt
97,0,doe someone say nazi scum url
98,1,even muslim fucking liar
99,1,support bulgaria muslim emigrant
100,0,car car car car
101,0,read full transcript link doe send site full transcript
102,0,wasnt chief rabbi israel colonelrabbit official capacity also didnt say directly implied might forbidden talmud surprising since source year old zizek miss nuance shock effect
103,0,agree said solution problem pointed migrant different culture wont place legitimacy progressive value touted western liberal clear solution support progressive version islam change within community opposed salafism west indirectly advocated support dictatorship opposition arab nationalist democracy middle east inb anyone pull blaming west everything card realise blame every direction direction lie much probably bit policy arab royalty doe western powerholders
104,1,way life emphasis phrase ever abide universal principle human right law blind origin wealth race etc designed follow universal principle right wrong western culture specialty mankind achievement following path logic instilling justice wherever applied common justice special western justice object term western culture common culture western country managed apply best second make compromise second succumb savage following primitive tribal law mixed religion want live society must abide principle fully division dont respect inferior culture respect side emigrating land mindless socialist think every savage desert tent culturally equal dont respect culture culture land emigrated country following notion justice floating oil shithole
105,0,guy serious problem express clear straightforward way speaks lot time without meaning objective conclude thought problem accent intrinsic characteristic philosophy
106,0,expert topic ive tried learn one question europe havent crime going like rape theft beating violence towards gay middle east different set donts abandon old way theyre live place doesnt
107,0,good thinking slavoj thanks yet another explanation
108,0,url poor country invaded refugee wonder slip tongue
109,0,pure ideology
110,0,
111,0,well yes living age transgression thing unacceptable tolerated day believe plato said majority people arent philosophical operating base appetite internet appetite easily sated begin downward spiral get access food eat youre full need food next time get full sexual fantasy traditional get boring might kink bondage furry ddlg diaper etc materialistic selfpleasuring thing like wasnt predicted question remains fix decay value doesnt transgress society
112,1,west going fucked taking refugee middle east fucked country going fuck country
113,0,fair saudi arabia taken refugee though selective idf rabbi said rape noncriminal war clarify meant something historically taken place something acceptable
114,0,second anyone try use guilt agree something youre uncomfortable example letting million refugee country understand youre emotionally manipulated communist speaks favor refugee white eastern european country except
115,0,still ignored question comming another one mostly male military age maybe answer saying muslim fundamentalism anyways great talk always thank guy
116,0,doe always cold
117,0,yeah wait conspiracy theory concrete wouldnt even say need conspiracy theory seems like reasonable accurate description actually going one caveat soros moneyman could others like plus people soros funding blm humanitarian see way use black american tool corruptundermine american democracy nearly perfect mirror happening europe cannot tell know definition hijrah immigration cannot weaponized violently even attrition politicaleconomic war first muslim mayor london completely bankrupt nation within etc terrorist jew even direct communication much collusion jew use muslim useful idiot way muslim use useful idiot suicide bomber second blackmail condition potentiality first bleeding heart liberal would right wing response muslim immigration liberal allowed muslim come merkel actively inviting almost oversight string attached furthermore liberal tend better educated wealthy conservative mean liberal timeexposure ideology frankfurt school resulting philosophical position cultural marxism created mostly jew explicitly stated goal trying different way failed ussr namely leveling people based economic difference people economically speaking exactly equal failed frankfurt school thinker jew went california came idea cultural marxism culture perceived equal meaning brazilian rain forest tribe culture equal japanese culture final point idea race creation culture since culture presto race equal lie course race create culture culture create race obviously culture superior implication race better others concept social darwinism majority belief second reich leading time revolution russian establishing would become failed system mankind economically made equal hundred thousand try several million somali sudanese eritrean last western intervention yeah thing big country fucking local farmer middle east also fucking small farmer country yes wasnt situation congo almost exactly situation portuguese slavetraders found africa long ago local african warlord pick portuguese side capture tribe slave sell portuguese situation changed much potential situation would existed portuguese never sailed africa million slave africa right saudi arabia one earliest currently practicing slavetrading nation world yet saudi arabia take refugee either africa middle east convenient must mean europe taking saudiarabias share refugee yes israel african middle eastern refugee israeli plot send muslim europe turning israel make perfect sense nothing see keep moving north huge chunk middle east refugee held turkey million writes check turkey high amount often order keep also wont get know many law time somali immigrant set foot swedish soil yes arab fault think way would dday whatever amount englishus soldier took beach twice many german refugee crossed england deland number would increase allied force enjoyed success battlefield except even worse muslim much difficult assimilate also misusing word arab arab also turk persian iranian among major group dozen dozen subgroup infighting fighting country region afford keep precisely wealthy taken refugee doe mention fact sweden rape capitol world leaf violent situation think ultimately shield refugee damage european culture think must obvious muslim much deleterious effect european culture european culture muslim culture talking veil shit report germany father twelve year old german girl hotel room muslim men act raping german police arrested lobby hotel dont remember happened muslim guy know publicly hanged girl sterile rally care open public debate rape case among numerous others default something discussed zizek even say thing holocaust denier even allow place discussion table already lostdel suchpeople thing disqualify automatically conversible year next election many thing muslim done fit bill discussion necessary idea talking publicy painfully already late open public debate one european politician european public whether level immigration condoned majority given nation horribly impacted immigration policy able participate open public discussion debate never happened subsequent one farce democratic decision liberal created problem solve least say next election time imperialism turned back europe vengeful addressing grievance created west treating defeated germany pseudoimperialist territory isnt also true woman right gay right etc identity politics one day west start deteriorating also becomes apparent west engaged neocolonial enterprise citizen isnt neocolonialism economic exploitation potential worker globally isnt nation people lumped global doe government people late capitalism also neocolonize well least eventually destroying local way life isnt fundamental reason trump recognizing destruction local way life america due globalismlate capitalism neocolonialism
118,0,cant secular liberal society let bunch religious authoritarian either new comer destroy everything society lose identity fighting
119,0,ideology doesnt even part discussion sheer number illegal immigrant entering europe imposes high cost european people impractical provide adequate standard living european government continue providing citizen
120,1,fuck every single muslim good bad
121,1,like dead refugee shore
122,0,video good one poorly done
123,0,muslim continent neither new reason afraid whoa hold horse educational video trying persuade throw away statement clearly true
124,0,need ban religon start hated
125,0,paris attack bastille day
126,0,everything said would work perfect world ala world far perfect turkey safe beautiful nation known tourism year ago took million refugee attack every month look crime rate sweden germany speaking
127,0,comment section scary
128,0,destroy isi take oil
129,0,realise refugee come turkey
130,0,love ignorant european love cite fact majority refugee syria though kind fallacy argument letting come economy lot north africanother middle east state shit many people simply economic refugee part world experiencing environmental stessors causing drought damage land carrying capacity obviously also affect economy contributes people wanting move literally greener pasture history world nothing people migrating time modern europe went much demographic shift century nothing new hun apparently originated somewhere around mongolia began westward trek oppressed rival ethnic group came power decided migrate thousand mile west undoubtedly sure ethnic makeup changed travel picked lost others reaching europe still modern europe usa world nothing melting pot people move forever xenophobia thing interesting illusion however defend mentality legitimate aggressor oppresseei guess one would state example inca revolt conquistador another note well enough could ramble hour nature group identity world shifting population ill write paper fleshing thought whole subject someday side viewpoint need foot fire speak
131,0,dont agree tbe sentiment human life worth human within nation come first example absolutely hate much donate othe country starving child right neighborhood sound heartless frankly must everything strengthen preserve others nation lived died dedicate resource time tie
132,0,fact tiny portion refugeees syria
133,0,biased fuck
134,0,moment like know wishful thinking useless wish president country economy strong enough help outalso last person president considering psychological state stuff yeahi feel helpless right
135,0,reality way complicated stated video know kurgesagt make idea strive better thing word dont make action forgotten corrupted country mostly bulgaria border country take consideration
136,0,humanity stop dumb unificate good thing coming europe accepts refugee said video would actually rise diversiveness culture inspire respect differently old people usually support people like trump random year old dont know better
137,1,helping ppl let build mosque enough problem religious nut dont need
138,0,live turkey turkey billion refugee stayed park work one syrian family member need help turkey helpfull country love country
139,0,jordanian country population gone due refugee influx sickening see country refuse host refugee inhuman cruel see animal pet taken care given shelter kept warm fed human freezing starving death world become
140,1,islam deadliest parasite humanity
141,1,yes merkel letting hoard century backward savage germany mix one civilized advanced people world definetly going work
142,0,let countrypoor germanshow accepted
143,0,weak european ask save like
144,0,refugee come china wont survive
145,1,kick bastard never return cast islam
146,1,germany hire farmer like north carolina give shotgun refugee way home within week
147,0,german woman need carry gun like american woman
148,1,speak truth never racism matter anyone say stand truth country people kick garbage muslimnegro male medium muslim coward filthy super ugly liar traitor
149,1,fuck muslim
150,0,goodness gracious middle east havent seen many ruffian life wake germany need fix
151,0,look dressed theyre bum clothes theyre wearing
152,1,dumb liberal look refugee like pet
153,1,didnt gun would killed shovel yet doesnt shoot scum kill next white person find rip france
154,1,come cowardly frenchman waste motherfucker included gypsy motherland peaceful fuck hypocritical liberalist spy evil crime whose let pest get great country
155,1,shoulda shot every single one
156,1,muslim dumb
157,1,kill shit head
158,0,still frenchie ran awaylike always
159,1,guy still would lost gun got bum rushed
160,0,fake title french gang police way immigrant wave idiot
161,1,kill parasite please
162,1,people filty pig islamics home
163,0,president booted office immediately
164,0,sponsored auping hahahahahahaa
165,0,look like movie set apocalypse zombie movie fake shit piss expensive well use real stuff sad
166,1,jew world order filthy third world muslim
167,0,video already debunked supposedly aftermath festival
168,0,turnin middleeast africa
169,0,let clean themself
170,1,europe getting right winged year tired enough enough come time raping basterds afraid
171,1,set foot nireland wont know hit join together throw irish sea fuck send scummy saudi arabia belong
172,1,desire maintain cultural integrity considered fachist give break islam peaceful religion taking world frightened consequence welcoming hoodlum course want come take advantage handout help child making peaceful assimilation mandatory dont want adopt native culture predominately islamic region accepts ideal ironically violent unstable figure
173,1,libtards boot fugly immigrant wouldnt look let alone rape ughhh
174,1,refugee welcome support parti face ugly old
175,0,read full transcript link doe send site full transcript
176,1,like dead refugee shore
177,0,video good one poorly done
178,0,put trump
179,0,rude comment celebrity said lgbt community unnecessary everyone support gay right offense nothing lgbt community everyone opinion everybody sensitive nowadays
180,0,caitlyn man trans traditional dis trans fucking love trans beautiful xxx
181,0,ummm hillary clinton antigay marriage typical libtards
182,1,gay dumb
183,1,gay suck
184,0,hairess pls learn pronounce word
185,1,gay people right
186,0,trump hatefull ideology lgbt citizen
187,1,know lgbt human hope god make change sick way hopefully another soddom ghomorra occurrence happen amen
188,0,many people forget american first
189,0,proud republican thiel
190,1,gay republican fucking moron
191,0,trump gay people right since allowed opinion wasnt politician whereas clinton started accepting lgbt like past year politically relevant disgusting doesnt believe anything
192,0,come people confusing must act like sense easy distinction accepts homosexual doe worldly view point homosexuality legal accepted distinction homosexuality right wrong look worldly view time looking worldly view distinction others love accept everyone accept everyone else doe actually homosexual supporter homosexual rage religion problem actually religion distinction thing religion lay right wrong worldly view everyone view opinion say worldly view accept homosexual still breaking form religion maybe better said opinion think isnt part make religion group collection opinion formed thought process way religion determines right wrong going use christianity christianity doe support homosexual true believing christian like going fight say wrong going fight say wrong actually condem christian belief say bad one wrong exactly condeming someone exactly insist thing stop trying force religon accept going happen doe work like even every human adopted worldly value would still distinction like distinction example tell year old allowed drink alchol make law oppress people really think fight say every person able opinion able act opinion still insist oppressing others opinion life lived well many people christian worldly opinion many think disgusting man put dress walk around trying talk like woman sexually attracted another man acting attraction like said religion think people actually think nasty like form opinion right wrong battle belief strongly
193,0,alright fuck trump little bit
194,1,glad trump hasnt anything bandit make disgusting life choice brother mincer sending bible camp conversation therapy make normal
195,1,america ten million homogaylike people north korea want beautiful trench gulag first line north korea kim kardashian miley cyrus gaga britney spear whore
196,0,love love
197,0,whats wrong humanlity guy love woman guy love woman proud man fuck woman pussy
198,0,gay right fuck doesnt exist gay arent separate specie race always right marry called marriage meant look dictionary prior bonding man woman wanted bonded called something else heterosexual marriage special symbolic thousand year old
199,0,making popcorn background
200,0,think lgbt right dont think lgbt people need special right need exact right everyone else
201,0,dress like woman youre still dude calling made pronoun deal
202,0,thanks donald trump millenial thinker
203,0,trump support gay right jeff session going attorney journal complete contradiction
204,0,want pop gay
205,1,president donald trump stand give account life lived gay sinner murderer fornicator abortionist liar worker sin worker iniquity president donald trump truly truly fear holy father able cast sinful body sinful soul hell lake fire
206,1,homophobia fake word created extreme left achieve wicked agenda vilify agree
207,0,cant get rid label let get rid gender religion race sexuality label please ordinary human human never equal label always divided never united stand alone
208,0,santa doesnt exist mean god doesnt exist
209,1,gay question pro gun would strapped person tried make victim hate crime would end victim fatal shooting
210,1,world peaceful get rid homophobic people cause destruction pain world history done anything useful society besides cause destruction need eliminated government realize
211,0,tell gay choice day age equivalent getting killed
212,1,totally gay obama right allow fag manifest country wanna gay get hell country christian nation god abomination god country longer blessed going fall soon ever see gay personally knock
213,0,sorry gay fault
214,1,gay way pathetic pick poor small sexually driven gnat
215,0,man shall lie man shall woman lie woman
216,0,felt horrible watching way gay people treated course history apart lgbtq community hit like button educational certain way gay happy living life accepted gay isnt huge part think people need relax let people love stop hating thing different belief dont believe pedophilia negative sexual behavior something people stereotype gay especially dont accept video like wake call would like accepted werent glad never beat gay yes bullied sorry ramble get chest thanks
217,0,made absolutely sick gay love life others sexuality gender terrible curse cant people see everyone human thats
218,0,disgusting people harbour much hate someone gender sexuality
219,0,made cry sooooooo hard straight
220,0,say bigot natural selection motherfucker
221,0,homophobia
222,1,hate homophobe
223,0,car car car car
224,0,hide engine would get killedthat stupid way smuggle another country
225,0,doe video keep reminding donald trump
226,0,venezuela want canadian american citezen cose poor country salary time lower lower salary canada example money dont care think imagrant dont care religion want work get car house country spend year buy car example people say dont stay made country rich country nooooo idiot becasue rich country made country poor country dream canada usa work donk know driven taxi people mad imigrant lazy thas bye immigrant world border
227,0,subscribe good day dont youll year bad luck
228,0,hope donald trumo doesnt see
229,0,hoping crazy shit place car hide
230,0,rude
231,1,hitler literally one progressive leader world time
232,0,government job force private business providing good service owned bakery would want bake nazi cake someone simply doesnt want serve cake fair fined thousand dollar
233,0,cdu would considered liberal
234,0,know fucking admit fucking yaoi shit unfamiliar yaoi guyonguy say fuck want dont give shit
235,0,research basing
236,0,merkels standing gay marriage simply concession junior coalition partner cdu even conservative csu
237,0,trump supporter vote hill
238,0,think everyone need way god want dont understand would want sex pleasurable straight way way
239,0,dont like gay calling faggot killing bigotry
240,0,german arent liberal people know patriotic hate current government
241,0,capitalism free market discriminate whoever want private business earn much money business government right regulating private business like lgbtq community support lgbq community stand transgender mental disorder known gender dysphoria dont try help mental disorder thats transgender suicide rate way higher called discriminated minority gay black whatever say discriminated even though arent
242,0,lesbian live arkansas fucking hard let tell rare feel safe going anywhere girlfriend sometimes pride parade lgbt gathering ton protester hurt heart see much hate people like friend want good time lead normal life
243,0,url lip biting tho cuz cant take hot
244,1,homosexuality sexual perversion like pedophilia sexual perversion disgusting
245,0,really wish commentator would stop using term like equal right talk gay marriage nothing equality everything social change example prior passage law legalising sex marriage system parallel essentially equal framework marriage defined man woman civil partnership existed essentially equal term right benefit could entered gay people compare situation racial segregation look argument racial segregation unfair race separate equal separate unequal long legal equality see issue equality society democratically saying want use one term heterosexual relationship another sex relationship
246,0,friend mine happen married gay couple shopping child target confronted employee asked refrain kissing gave wife basically peck werent making gratuitous target family establishment part two married woman child doesnt constitute family
247,0,stop putting kissing scene hate comment
248,0,german government sigh
249,0,germany dont even know everybody hate people different
250,0,ricardo corralvenegas known rapist mexico former cop entered usa illegally living colorado three month raped one woman attemped rape another many people think way keeping like ricardo corralvenegas country think would like let ricardo free live neighborhood
251,0,think video fake reporter cant tell migra would like helping
252,0,canadian put wall
253,0,interview good whyd stalk mustve awkward family
254,0,trump president build fence tall enough
255,0,fucked smh
256,0,mexican goverments fault born mexico practically open border south nation people world speacially central america haiti cross border try migrate state cant make stay mexico real issue top buy mexican citizenship ive heard safe boarder demand goverment stop greedy corrupt might decent nation better migration relationship like canada
257,1,see endless supply soap fertiliser
258,0,dont pay tax get food stamp wic check drive nice car meanwhile american paying tax eating sandwich get fair
259,0,god please let get destination safe protect help pray people everyday everynight want better life doesnt trying give better life child
260,0,feel hard journey
261,0,know historyall north american continent already populated native mexican native american kind brown skin people really immigrant ignorance america founded
262,0,listen yeah sad poor america isnt stable enough help people america barley help people make think help illegals thats trump want illegals dont pay tax drain tax payer money america get rid majority illegals strengthen country able help
263,0,take lot time money lot salvador
264,0,let build wall
265,0,let build wall
266,0,wish people could understand hard bad people like portrayed trying find better life like ancestor course world full ignorance one get judge come work make money send family find better education trying hurt anyone
267,0,thank goodness trump going enforce existing immigration law make huge difference
268,0,many fair actually work hard get citizenship right way
269,1,hell donald trump hypocrite selfish racist supporter human looking better life like everyone past come illegal immigration garbage argument let tell tell history believe dont want know ugly truth really sick moron promoting negativity hate undocumented people fundamental base fact againg come garbage argument stealing job leeching government threat called america let tell well something far wicked going whole negative hate propaganda garbage undocumented immigrant
270,0,obama traitor country policy put american great risk weakened nation watch
271,0,magic word border language culture
272,0,kind leftist policy drove american trump
273,0,love god would stupid wreckless actually tell people illegals exactly say national television
274,0,wow terrorist get free charge magic word
275,0,shouldnt allowed
276,0,relnofollow classothashtag hrefurl
277,1,deportation good say beat dog shit drag hair beat get free ride back land
278,1,racist pig trying use excuse come start tearing family apart president obama save many please
279,0,look stats cash seizure carried cop case cop simply confiscate cash traffic stop etc see majority seizure occur new york chicago various place california maybe connection sheriff mayor place love sanctuary city
280,0,saw video obama leaf let illegals every month
281,0,charge aiding abeding
282,0,illegal immigrant criminal invader main reason active enforcement profit tyson chicken hire mostly illegals thus pay minimum wage pay fica matching avoid paying unemployment insurance tax one many company actively abusing illegal alien committing fraud corrupt career politician getting kickback ensure ice hold raid time prevent company hand paycheck long series organized crime prosecute employer corruption congress wont illegal job illegal alien home
283,0,pls usa pipos take pls cityzen yes studi notgreen noh bluecanada south americaall day everyday dont leave mepls hit pls lowest tiny weeky abouts
284,1,build damn wall deport illegals difficult start building wall tonight far home depotthey concrete sale offlet people lol
285,0,protecting citizen protecting illegals protecting employer want cheap labor
286,1,fired anti american
287,0,like helping undoc slave master trader sanctuary city thing
288,1,packurbags
289,1,illegally argument stop arguing argument take away illegal issue driver licence gimmick democrat pulled give technical residency statusthey citizen
290,1,emanuel turd criminal murderer mexican threat american dozen way
291,0,mexico built wall southern border america want wall considered racist wrong cross mexico immediately get deported america want deportation many considered cruel racist mexico wont give federal spending illegal immigrant america giving illegal immigrant free food money healthcare education even free escalade cadillac sanctuary city dont enforce law illegal immigrant commit murder rape crime get arrested released next day citizen likely serve time crime country getting robbed blind wake people
292,0,demorats corrpt dont usa
293,0,illegal immigrant arent law send every illegal back wait turn
294,0,let get strait illegal immigrant protesting trump conservative policy border would mean hispanic couldnt cross border escape country run racist white misogynist menright mean thats told worst thing planet today government run white male illegal immigrant must fleeing right illegal immigrant really want escape county hispanic run government hispanic majority hispanic tradition hourly wage peso url url
295,0,end daca day one
296,0,outcry hypocrite obama deported million illegal immigrant
297,0,gross packed truck haha jeesh
298,0,thats sad rightful owner continent degraded way white man came fucked whole way life introduced new way life werent ready
299,0,border patrol agent talk like dog
300,0,lord deep
301,1,toss grenade close door
302,0,imagine horror people died charge drive semi truck would faced could lived self
303,0,god child god help wont mexican government help poor people
304,1,like see economy collapse funny see everyone matter race crawling like rat put everything perspective
305,0,need wall fast
306,0,suck want better life kid
307,0,immigrant trafficked
308,0,
309,0,according potter story said idea driving truck full illegal citizen park truck truck stop buy snack drinkson way back truck notice liquid pouring back trailer open door trailer illegals got ran away others stayed truck one truck stop seen called police police arrived thus see rest video glad people truck rescued dont think potter culprit herehe said struggling american truck driver looking job hired driver truckhe found job craig list said didnt ask question people hired said feared wouldnt get job
310,1,theyre going come collect food welfare check million baby grow ghetto disrespectful little shit process repeat fat ugly poor hygiene woman fat kid drug racist towards white
311,1,disgusting smelly fat pig
312,0,deep
313,0,wtf hurry build wall
314,0,url url viva mexico
315,0,bean
316,0,illegal alien mean ghetto population fucked education grafitti mother fucker root cause city look like shit
317,0,dude fucking racist sure challenge chicago gang stret kkk custome see come alive bro
318,0,stupid dumb one impersonating public servant felony
319,0,video hilarious run people pretend detain grab illegal fuck law allows
320,1,typical southern redneck lmao
321,1,fuckin lazy fatass learn shove dick run faster dam looken wannabe uncle buck
322,0,thats fucked even funny
323,0,legal
324,0,url cadddro
325,0,url looking seal water get cadro
326,1,way fat chase illegals
327,0,wether prank would like kid familly member treated like like animal dont hope come across one family member orank like see happensto eho think guy could gotten hurt real bad cause accident stupity would still prank felony wich one call america land freee like land racist come florida pull prank like see happens
328,1,lol would funnirr actually get shot lmao make partt two bro wanna see get shot
329,0,went way far
330,1,stupid son bitch hope dumb get type trouble thought shit like funny stupid asshole like whats ruining country hell
331,1,fat wanna pig screaming immigration immigrationsget job fat white man
332,0,deporting illegals wasnt funny paper wrong
333,0,hahaha got fucken moron keep prank fella mexican gonna kick
334,0,youre racist thats illigal beter stop eating rids youre going heart attack
335,0,olmost got shot ignorant next time migth lucky
336,0,jerk
337,0,people problem religion
338,1,islam condones murder innocent simple pure evil
339,0,secret nonidentified religion organization editing history islam image tool like internet book paid scholar pushed spread bullshit theory book war funding alqaeda isi bla bla bla human right
340,0,fuck know islam muslim muslim
341,0,talk slowly
342,0,big daddy god belief past happy manipulated feel secure
343,0,name allah azza jalla want cry read comment people much hatred towards islam islam much negative thought towards islam muslim please noteable difference muslim andor muslimah really want say good work video positive side educating heart feel pain everytime read reply comment seriously hate say anyone religion doe religion say dont commit bad thing although human cant avoid least finger thought really upsetting
344,0,quran url kill infidel wherever find quran sacred month passed kill mushrikun wherever find quran meet disbelieve smite neck till killed wounded many take captive quran url believe fight disbeliever close let find harshness religion peace everybody
345,0,core idea torah talmud bible zenavesta copied manipulated make new religion false prophet proved book hagarism patricia crone
346,0,believe islam becuz growing everyday know
347,0,good
348,0,actually left muslim faith week anyone interested shoot message give pointer
349,0,mean help poor muslim otherswe human lol
350,0,allahu akbar
351,1,fuck white cave half human inbred bastard black man america time get national defense militia defend people evil crackka bastard also defend self nigga kill people puppet coon nigga sell bed wench serve damm devil crackkas black man prepare war
352,0,sir send video link paper
353,0,state terror like israel
354,0,fantastic lecture sir plz upload world war world part
355,0,march
356,0,explain joke early video
357,0,thank much blessing student
358,1,america britain real terrorist theyve killed million people world
359,0,targeted microwave energy tortured
360,0,sir lecture super gave knowledge
361,0,worst terrorist attack history would fill minute video would middle east bar top
362,0,hhhhhhhhhhh
363,0,jefferson parish racist orleans parish year jefferson parish needed reform orleans fed nothing helping racist pig get away murder fuck newell norman klan fam know mama stay know racist family trying new racist subtle approach since obama office ive dreamvision white jefferson parish police squad wearing black tactical gear walking ames blvd killing every black person saw ran tried warn others found one tell caught right attempted kill woke everyone tried tell think crazy dream twice seemed like warning
364,0,false flag
365,1,terrorism islam
366,0,sensible unbiased lecturesalute sir
367,0,anyone noticed attack september
368,1,white people worst inhuman ever walked earth
369,1,ready terror attack usa armed ready fight got trusty ruger shotgun weapon rip lost live
370,0,sandip sir really nice teacher
371,0,attack japanese city nuclear bomb forget add
